batch_size,num_processes,time_elapsed
1,4,4086.847789287567
1,6,2867.761372089386
1,8,2781.23175406456
1,10,2704.3853640556335
1,12,2579.1348831653595
5,4,4094.758360147476
5,6,2886.8415002822876
5,8,2777.247754096985
5,10,2707.8908767700195
5,12,2581.083918094635
25,4,4145.260062456131
25,6,2949.2096152305603
25,8,2819.9851458072662
25,10,2714.3107101917267
25,12,2596.3127381801605
100,4,4263.679092645645
100,6,3033.403825521469
100,8,2884.9372770786285
100,10,2786.4427993297577
100,12,2663.977365255356
250,4,4443.79588508606
250,6,3227.0253834724426
250,8,3000.5560030937195
250,10,2949.1089951992035
250,12,2755.108650445938
500,4,4573.578502178192
500,6,3354.836932659149
500,8,3110.973711013794
500,10,2976.4907648563385
500,12,2974.847472667694
1,14,2602.9189128875732
1,16,2609.380329847336
1,18,2607.3040194511414
1,20,2608.833514213562
1,22,2612.819046497345
1,24,2583.3772790431976
5,14,2588.1123554706573
5,16,2578.6567606925964
5,18,2580.8060460090637
5,20,2599.306440114975
5,22,2583.717921733856
5,24,2584.5451843738556
25,14,2607.018105506897
25,16,2626.103109359741
25,18,2633.356230020523
25,20,2594.946528673172
25,22,2604.826678752899
25,24,2601.8313353061676
100,14,2673.172076702118
100,16,2684.032900571823
100,18,2657.583636045456
100,20,2642.6403982639313
100,22,2673.504588365555
100,24,2638.9222950935364
250,14,2797.0513215065002
250,16,2800.2841296195984
250,18,2743.0455005168915
250,20,2704.126225709915
250,22,2773.8486289978027
250,24,2712.11168551445
500,14,2954.860934495926
500,16,2836.750435113907
500,18,2771.6027386188507
500,20,2733.2890045642853
500,22,2772.687915086746
500,24,2730.216101169586
