sample_size,use_num_mines_constraint,wins,num_games,time_elapsed,samples_considered,samples_with_solutions,difficulty
"(4, 4)",True,337,1000,331.847469329834,34221,7842,Beginner (9x9)
"(4, 4)",False,336,1000,288.7200665473938,34219,7819,Beginner (9x9)
"(5, 5)",True,802,1000,242.443621635437,22435,8508,Beginner (9x9)
"(5, 5)",False,793,1000,203.1040768623352,22468,8505,Beginner (9x9)
"(6, 6)",True,804,1000,221.2115979194641,17596,6699,Beginner (9x9)
"(6, 6)",False,794,1000,177.46612787246704,17627,6696,Beginner (9x9)
"(7, 7)",True,806,1000,224.33633995056152,14927,5891,Beginner (9x9)
"(7, 7)",False,794,1000,167.65471363067627,14955,5892,Beginner (9x9)
"(8, 8)",True,809,1000,202.91678428649902,12286,4835,Beginner (9x9)
"(8, 8)",False,794,1000,146.1725971698761,12334,4850,Beginner (9x9)
"(9, 9)",True,817,1000,198.60473918914795,10026,3927,Beginner (9x9)
"(9, 9)",False,794,1000,152.08412766456604,10061,3924,Beginner (9x9)
"(10, 10)",True,826,1000,180.909485578537,6961,3407,Beginner (9x9)
"(10, 10)",False,794,1000,102.94046235084534,7047,3448,Beginner (9x9)
"(11, 11)",True,826,1000,69.75748610496521,4533,3275,Beginner (9x9)
"(11, 11)",False,794,1000,59.17076826095581,4622,3325,Beginner (9x9)
"(4, 4)",True,34,1000,1112.7495937347412,98681,19968,Intermediate (16x16)
"(4, 4)",False,34,1000,1049.0814621448517,98683,19966,Intermediate (16x16)
"(5, 5)",True,559,1000,819.0280191898346,64611,25347,Intermediate (16x16)
"(5, 5)",False,558,1000,709.264707326889,64644,25343,Intermediate (16x16)
"(6, 6)",True,575,1000,766.7213532924652,49107,20069,Intermediate (16x16)
"(6, 6)",False,574,1000,627.1728136539459,49143,20077,Intermediate (16x16)
"(7, 7)",True,579,1000,844.8392565250397,43572,17651,Intermediate (16x16)
"(7, 7)",False,575,1000,631.7821435928345,43609,17641,Intermediate (16x16)
"(8, 8)",True,579,1000,875.227460861206,39198,14944,Intermediate (16x16)
"(8, 8)",False,575,1000,648.0828893184662,39279,14944,Intermediate (16x16)
"(9, 9)",True,580,1000,999.8763310909271,33672,13397,Intermediate (16x16)
"(9, 9)",False,575,1000,612.0175120830536,33751,13401,Intermediate (16x16)
"(10, 10)",True,580,1000,1080.7356083393097,32892,11689,Intermediate (16x16)
"(10, 10)",False,575,1000,608.1893756389618,32981,11701,Intermediate (16x16)
"(18, 18)",True,589,1000,494.55867409706116,7461,5276,Intermediate (16x16)
"(18, 18)",False,575,1000,272.62990403175354,7634,5363,Intermediate (16x16)
"(4, 4)",True,0,1000,826.5144522190094,85881,11467,Expert (16x30)
"(4, 4)",False,0,1000,763.2939956188202,85881,11467,Expert (16x30)
"(5, 5)",True,157,1000,1565.4911696910858,114205,35703,Expert (16x30)
"(5, 5)",False,156,1000,1368.2025394439697,114224,35702,Expert (16x30)
"(6, 6)",True,171,1000,1599.2524375915527,91610,29835,Expert (16x30)
"(6, 6)",False,169,1000,1333.267953634262,91626,29830,Expert (16x30)
"(7, 7)",True,175,1000,1949.731193304062,81737,26956,Expert (16x30)
"(7, 7)",False,172,1000,1626.288851261139,81770,26950,Expert (16x30)
"(8, 8)",True,176,1000,2086.450092792511,73484,23376,Expert (16x30)
"(8, 8)",False,172,1000,1438.2739202976227,73554,23370,Expert (16x30)
"(9, 9)",True,177,1000,2258.957965373993,63525,21466,Expert (16x30)
"(9, 9)",False,172,1000,1457.7612147331238,63601,21458,Expert (16x30)
"(10, 10)",True,177,1000,2477.3968048095703,60144,19122,Expert (16x30)
"(10, 10)",False,172,1000,1465.6852447986603,60207,19111,Expert (16x30)
"(18, 32)",True,186,1000,1429.5956573486328,11071,7594,Expert (16x30)
"(18, 32)",False,172,1000,599.7857704162598,11142,7612,Expert (16x30)
