wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint
786,419,492.0995090007782,60809,11206,Beginner (9x9),4x4,True
574,160,1919.2506411075592,208724,35744,Intermediate (16x16),4x4,True
146,21,3787.0567243099213,390987,53538,Expert (16x30),4x4,True
762,402,334.87106132507324,61062,11148,Beginner (9x9),4x4,False
569,148,1338.4859991073608,209000,35698,Intermediate (16x16),4x4,False
145,20,2646.7096338272095,391037,53532,Expert (16x30),4x4,False
800,432,408.22483682632446,42161,8103,Beginner (9x9),5x5,True
576,168,1267.5148599147797,127446,25083,Intermediate (16x16),5x5,True
159,26,2677.2224295139313,237189,38606,Expert (16x30),5x5,True
762,403,218.36944699287415,42738,8037,Beginner (9x9),5x5,False
571,148,692.4173843860626,128109,25041,Intermediate (16x16),5x5,False
156,21,1587.5815975666046,237351,38585,Expert (16x30),5x5,False
801,432,470.579922914505,37159,6413,Beginner (9x9),6x6,True
581,170,1554.9140901565552,125963,19837,Intermediate (16x16),6x6,True
162,27,3268.4714720249176,234611,31911,Expert (16x30),6x6,True
762,403,216.6045594215393,37781,6350,Beginner (9x9),6x6,False
571,148,681.4044873714447,126682,19791,Intermediate (16x16),6x6,False
159,21,1679.998215675354,234880,31897,Expert (16x30),6x6,False
802,432,465.0188145637512,29636,5640,Beginner (9x9),7x7,True
581,172,2140.8437225818634,135227,17520,Intermediate (16x16),7x7,True
164,28,4332.0458352565765,246077,28658,Expert (16x30),7x7,True
762,403,189.50838375091553,30302,5579,Beginner (9x9),7x7,False
571,148,780.2195873260498,136114,17470,Intermediate (16x16),7x7,False
159,21,1908.0148429870605,246506,28629,Expert (16x30),7x7,False
802,432,417.3594923019409,22569,4603,Beginner (9x9),8x8,True
581,172,3116.8184113502502,142188,14560,Intermediate (16x16),8x8,True
165,28,5914.037976026535,257292,24853,Expert (16x30),8x8,True
762,403,148.4540581703186,23236,4557,Beginner (9x9),8x8,False
571,148,869.1798985004425,143127,14528,Intermediate (16x16),8x8,False
160,21,2132.7448422908783,257748,24832,Expert (16x30),8x8,False
805,434,52.46365785598755,4396,3160,Beginner (9x9),11x11,True
581,172,4217.012991905212,138779,13070,Intermediate (16x16),9x9,True
165,28,7721.290224790573,261100,22885,Expert (16x30),9x9,True
762,403,22.09152102470398,4470,3182,Beginner (9x9),11x11,False
571,148,993.9315433502197,139744,13039,Intermediate (16x16),9x9,False
160,21,2379.170815229416,261608,22858,Expert (16x30),9x9,False
805,434,52.369861364364624,4396,3160,Beginner (9x9),11x11,True
581,173,5017.967380285263,128549,11339,Intermediate (16x16),10x10,True
165,28,9454.937262296677,254107,20308,Expert (16x30),10x10,True
762,403,22.044808864593506,4470,3182,Beginner (9x9),11x11,False
571,148,1033.1843004226685,129581,11317,Intermediate (16x16),10x10,False
160,21,2552.6699335575104,254677,20282,Expert (16x30),10x10,False
805,434,52.695831060409546,4396,3160,Beginner (9x9),11x11,True
582,174,450.0945897102356,7399,5098,Intermediate (16x16),18x18,True
171,28,1715.2274599075317,11636,8063,Expert (16x30),18x32,True
762,403,22.044063329696655,4470,3182,Beginner (9x9),11x11,False
571,148,103.23682928085327,7539,5167,Intermediate (16x16),18x18,False
160,21,274.19971561431885,11719,8089,Expert (16x30),18x32,False
